index,pid,plant_name,Date,Depth_mm,IrrigationGroup,Time_hr
126,1,Guayule MAC D100 2018,2018-06-22 00:00:00,16,a,2
127,1,Guayule MAC D100 2018,2018-06-28 00:00:00,10.8,a,2
128,1,Guayule MAC D100 2018,2018-07-02 00:00:00,18,a,2
129,1,Guayule MAC D100 2018,2018-07-04 00:00:00,18,a,2
130,1,Guayule MAC D100 2018,2018-07-05 00:00:00,18,a,2
131,1,Guayule MAC D100 2018,2018-07-06 00:00:00,18,a,2
132,1,Guayule MAC D100 2018,2018-07-07 00:00:00,18,a,2
133,1,Guayule MAC D100 2018,2018-07-09 00:00:00,11,a,2
134,1,Guayule MAC D100 2018,2018-07-10 00:00:00,11,a,2
135,1,Guayule MAC D100 2018,2018-07-11 00:00:00,11,a,2
136,1,Guayule MAC D100 2018,2018-07-13 00:00:00,11,a,2
137,1,Guayule MAC D100 2018,2018-07-16 00:00:00,11,a,2
138,1,Guayule MAC D100 2018,2018-07-20 00:00:00,27.1,a,2
139,1,Guayule MAC D100 2018,2018-07-21 00:00:00,28.8,a,2
140,1,Guayule MAC D100 2018,2018-07-22 00:00:00,11.2,a,2
141,1,Guayule MAC D100 2018,2018-07-23 00:00:00,11.2,a,2
142,1,Guayule MAC D100 2018,2018-07-25 00:00:00,11.2,a,2
143,1,Guayule MAC D100 2018,2018-07-26 00:00:00,14.2,a,2
144,1,Guayule MAC D100 2018,2018-07-27 00:00:00,11,a,2
145,1,Guayule MAC D100 2018,2018-07-28 00:00:00,11,a,2
146,1,Guayule MAC D100 2018,2018-07-29 00:00:00,23.7,a,2
147,1,Guayule MAC D100 2018,2018-07-31 00:00:00,16,a,2
148,1,Guayule MAC D100 2018,2018-08-02 00:00:00,16,a,2
149,1,Guayule MAC D100 2018,2018-08-08 00:00:00,16,a,2
150,1,Guayule MAC D100 2018,2018-08-09 00:00:00,16,a,2
151,1,Guayule MAC D100 2018,2018-08-12 00:00:00,32,a,2
152,1,Guayule MAC D100 2018,2018-08-16 00:00:00,8.2,a,2
